Time,Long_Dist_L1_F1,Long_Dist_F1_F2,Lat_Dist_L1_F1,Lat_Dist_F1_F2,Long_Vel_Diff_L1_F1,Long_Vel_Diff_F1_F2,Lat_Vel_Diff_L1_F1,Lat_Vel_Diff_F1_F2
2.819867134094238281e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.730643272399902344e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.287269592285156250e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.003047466278076172e-01,1.099997821882881333e+01,0.000000000000000000e+00,-3.066314251208758789e-05,0.000000000000000000e+00,3.325625306948870748e-04,0.000000000000000000e+00,9.954752001471192885e-05,0.000000000000000000e+00
8.002877235412597656e-01,1.099997821882881333e+01,0.000000000000000000e+00,-3.066314251208758789e-05,0.000000000000000000e+00,3.325625306948870748e-04,0.000000000000000000e+00,9.954752001471192885e-05,0.000000000000000000e+00
9.003043174743652344e-01,1.099997821882881333e+01,0.000000000000000000e+00,-3.066314251208758789e-05,0.000000000000000000e+00,3.325625306948870748e-04,0.000000000000000000e+00,9.954752001471192885e-05,0.000000000000000000e+00
1.000305175781250000e+00,1.099997821882881333e+01,0.000000000000000000e+00,-3.066314251208758789e-05,0.000000000000000000e+00,3.325625306948870748e-04,0.000000000000000000e+00,9.954752001471192885e-05,0.000000000000000000e+00
1.100293874740600586e+00,-1.004100201499454004e+00,1.199999531903880623e+01,1.653863024118141557e-04,-6.102870848398594147e-05,9.822059777674478631e-02,2.527983911587327790e-04,-3.993128794749625164e-05,-6.806153889765709388e-06
1.200321912765502930e+00,-1.004100201499454004e+00,1.199999531903880623e+01,1.653863024118141557e-04,-6.102870848398594147e-05,9.822059777674478631e-02,2.527983911587327790e-04,-3.993128794749625164e-05,-6.806153889765709388e-06
1.300340652465820312e+00,-1.004100201499454004e+00,1.199999531903880623e+01,1.653863024118141557e-04,-6.102870848398594147e-05,9.822059777674478631e-02,2.527983911587327790e-04,-3.993128794749625164e-05,-6.806153889765709388e-06
1.400270462036132812e+00,-1.016453201367442105e+00,1.199997821882484672e+01,-1.699976981788384385e-04,-3.347968445231333078e-05,1.987294992738176669e-01,3.325625306948885927e-04,-1.245753743743455220e-04,9.954752001473403302e-05
